04;14000148;02;1;4,53
04;14000159;02;2;11,4
04;14000159;26;1;11,4
04;14000160;02;2;12,48
04;14000160;26;1;12,48
04;14000163;02;1;8,9867
04;14000163;26;1;8,9867
04;14000177;01;42;3,215
04;14000177;02;600;3,215
04;14000177;26;1;3,215
04;14000206;02;17;58,6719
04;14000206;11;1;58,6718
04;14000206;26;1;58,6719
04;14000215;01;21;35,2511
04;14000215;02;130;35,2699
04;14000215;26;1;35,2699
04;14000225;26;1;11,744
04;14000243;02;34;28,5219
04;14000243;26;1;28,5219
04;14000262;02;2;24
04;14000262;26;1;24
04;14000270;01;1;4,1554
04;14000270;26;1;4,1554
04;14000271;02;58;49,7333
04;14000271;11;1;49,7333
04;14000271;26;1;49,7333
04;14000273;01;1;2,1049
04;14000273;11;1;2,1049
04;14000273;26;1;2,1049
04;14000276;02;19;25,3077
04;14000276;26;1;25,3077
04;14000289;01;5;4,401
04;14000289;26;1;4,401
04;14000289;50;70;4,401
04;14000291;01;1;2,4324
04;14000291;26;1;2,4324
04;14000292;01;8;6,2116
04;14000292;26;1;6,2116
04;14000292;50;25;6,2116
04;14000293;01;278;9,6416
04;14000293;26;1;9,6416
04;14000300;01;4;24,4257
04;14000300;02;100;24,4257
04;14000300;26;1;24,4257
04;14000301;01;3;24,5802
04;14000301;02;50;24,5802
04;14000301;26;1;24,5802
04;14000302;01;4;14,6588
04;14000302;26;1;14,6588
04;14000303;01;3;18,3912
04;14000303;02;90;18,3912
04;14000303;26;1;18,3912
04;14000304;01;8;18,4018
04;14000304;02;30;18,4018
04;14000304;26;1;18,4018
04;14000305;01;10;24,681
04;14000305;02;160;24,681
04;14000305;26;1;24,681
04;14000306;01;6;5,2026
04;14000306;26;1;5,2026
04;14000311;01;1001;4,9829
04;14000311;26;1;4,9829
04;14000312;01;17;7,9495
04;14000312;26;1;7,9494
04;14000313;11;9;1,1895
04;14000313;24;1;1,1932
04;14000314;01;232;3,0128
04;14000314;26;1;3,0253
04;14000316;02;300;3,51
04;14000317;01;61;3,4845
04;14000317;26;1;3,4851
04;14000318;01;1;11,216
04;14000318;02;1160;11,216
04;14000319;01;31;8,0864
04;14000319;02;1500;9,8269
04;14000320;02;1000;11,216
04;15000010;02;263;22,3904
04;15000010;24;2;22,3904
04;15000010;26;1;22,3904
04;15000011;02;28;17,1707
04;15000011;26;1;17,1707
04;15000012;02;694;3,23
04;15000012;26;1;3,23
04;15000013;02;296;0,6
04;15000013;26;1;0,6
04;15000014;01;8;63,4418
04;15000014;02;30;63,4418
04;15000014;26;1;63,4418
04;15000015;01;11;12,7837
04;15000015;02;40;12,7837
04;15000015;26;1;12,7837
04;15000016;01;4;4,51
04;15000016;02;178;4,51
04;15000016;26;1;4,51
04;15000018;02;20;37,4833
04;15000018;26;1;37,4833
04;15000124;01;22;10,2866
04;15000124;26;1;10,2866
04;15000125;01;22;12,1867
04;15000125;26;1;12,1867
04;15000126;01;5;16,1379
04;15000126;02;40;16,1379
04;15000126;26;1;16,1379
04;15000127;02;60;19,8004
04;15000127;24;1;19,8004
04;15000127;26;1;19,8004
04;15000128;01;3;19,798
04;15000128;02;45;19,798
04;15000129;01;5;37,3466
04;15000129;02;66;37,3466
04;16000001;02;2;168,96
04;16000001;26;1;168,96
04;16000002;02;41;1,88
04;16000003;02;22;3,13
04;16000004;02;21;2,96
04;16000005;02;65;1,63
04;16000009;02;22;19,66
04;16000010;02;70;1,75
04;16000011;02;5;15,04
04;16000012;02;5;32,58
04;16000014;02;2;78,2
04;16000015;02;28;2,44
04;16000016;02;1;4,08
04;16000017;02;42;3,86
04;16000018;02;111;2,12
04;16000022;02;14;25,58
04;16000023;02;56;2,29
04;16000025;02;4;42,36
04;16000028;02;9;233,92
04;16000036;02;3;76,17
04;16000039;02;19;2
04;16000041;02;36;13,6
04;16000042;02;39;21,78
04;16000043;02;22;1,913
04;16000045;02;22;29,6988
04;16000045;26;1;29,6988
04;16000046;02;16;48,745
04;16000047;02;12;55,525
04;16000048;02;3;65,136
04;16000049;02;121;7,7
04;16000050;02;65;9,29
04;16000051;02;102;8
04;16000053;02;19;104,04
04;16000053;26;1;104,04
04;16000054;02;80;12,48
04;16000055;02;108;20,23
04;16000056;02;74;21,9128
04;16000056;26;1;21,9128
04;16000058;02;2;2
04;16000059;02;4;2
04;16000060;02;4;32,82
04;16000081;02;3;3,8367
04;16000082;02;1;6,83
04;16000083;02;1;2,84
04;16000097;02;12;2
04;16000098;02;12;2
04;16000099;02;13;2
04;16000100;02;63;2
04;29000001;02;15;122,0624
04;29000005;02;6;183,1167
04;36000043;02;32;21,52
04;36000043;26;1;21,52
04;36000054;02;86;4,24
04;36000054;26;1;4,24
04;36000055;02;67;5,08
04;36000055;26;1;5,08
04;36000056;02;12;6
